"07/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda,06/12/2024,0101,00000047.38,00000001.89,00000045.49";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,06/12/2024,0106,000000064.5,000000002.9,000000061.6";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00014318,20237,Venda Parcelada,07/12/2024,0103,00000174.34,00000007.84,000000166.5";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,04/10/2024,0306,00000053.11,00000002.38,00000050.73";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,04/10/2024,0306,00000024.51,000000001.1,00000023.41";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,05/11/2024,0206,00000184.61,000000008.3,00000176.31";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,05/11/2024,0206,00000076.17,00000003.42,00000072.75";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,07/12/2024,0103,00000065.16,00000002.93,00000062.23";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,8,Venda Parcelada,07/12/2024,0103,00000045.33,00000002.03,000000043.3";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,07/12/2024,0105,00000095.61,000000004.3,00000091.31";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,9,Venda Parcelada,07/12/2024,0105,00000095.39,00000004.29,000000091.1";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,07/12/2024,0106,00000268.17,00000012.06,00000256.11";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,7,Venda Parcelada,07/12/2024,0106,00000291.66,00000013.12,00000278.54";;;;;;;;;;;;;;;;;;;;;;
"08/01/2025,Piaui Materiais de Construcoes,00307868,11,Venda Parcelada,07/12/2024,0106,00000094.68,00000004.26,00000090.42";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,01/07/2024,0606,00000043.49,00000001.99,000000041.5";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,03/09/2024,0404,000000025.0,00000001.14,00000023.86";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,03/09/2024,0404,00000040.29,00000001.81,00000038.48";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500006,Venda Parcelada,03/09/2024,0405,00000037.69,00000001.69,00000000036";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500007,Venda Parcelada,06/11/2024,0202,000000023.2,00000001.04,00000022.16";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,06/11/2024,0203,00000140.25,00000006.31,00000133.94";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,06/11/2024,0205,00000063.54,00000002.85,00000060.69";;;;;;;;;;;;;;;;;;;;;;
"09/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,06/11/2024,0206,00000082.74,00000003.72,00000079.02";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00014318,20224,Venda Parcelada,02/07/2024,0606,00000108.15,00000004.89,00000103.26";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,03/08/2024,0506,00000130.92,00000005.89,00000125.03";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,03/08/2024,0506,00000054.52,00000002.45,00000052.07";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,04/09/2024,0406,00000047.16,00000002.12,00000045.04";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,04/09/2024,0406,00000258.67,00000011.64,00000247.03";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,7,Venda Parcelada,04/09/2024,0406,00000078.47,00000003.53,00000074.94";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,07/11/2024,0204,00000055.68,000000002.5,00000053.18";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,07/11/2024,0205,00000025.35,00000001.14,00000024.21";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,07/11/2024,0206,00000184.53,000000008.3,00000176.23";;;;;;;;;;;;;;;;;;;;;;
